Names,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Total tests,Population
Guatemala,"1,288,588",,"20,285                                ",,"1,265,533",,"2,770",5,"7,593,848","18,584,039 "
Morocco,"1,278,944",,"16,301                                ",,N/A,N/A,N/A,N/A,"13,001,033","37,772,756 "
Lebanon,"1,243,838",,"10,952                                ",,"1,087,587",,"145,299",74,"4,795,578","6,684,849 "
Costa Rica,"1,238,883",,"9,428                                ",,N/A,N/A,N/A,N/A,"4,659,757","5,182,354 "
Bolivia,"1,211,716",,"22,407                                ",,"1,177,145",,"12,164",220,"2,710,261","11,992,656 "
Tunisia,"1,153,361",,"29,423                                ",,N/A,N/A,N/A,N/A,"5,013,383","12,046,656 "
Cuba,"1,115,243",,"8,530                                ",,"1,106,647",,66,,"14,401,151","11,305,652 "
Ecuador,"1,070,188",,"36,043                                ",,"1,034,145",,0,,"3,082,403","18,113,361 "
UAE,"1,067,030",,"2,349                                ",,N/A,N/A,N/A,,"200,732,262","10,081,785 "
Panama,"1,059,893",,"8,727                                ",,"1,051,102",,64,16,"7,882,622","4,446,964 "
Uruguay,"1,041,111",,"7,664                                ",,"1,030,944",,"2,503",18,"6,114,822","3,496,016 "
Mongolia,"1,011,459",,"2,284                                ",,"1,009,175",,0,N/A,"4,030,048","3,378,078 "
Nepal,"1,003,450",,"12,031                                ",,"991,322",,97,,"6,047,766","30,225,582 "
Belarus,"994,037",,"7,118                                ",,"985,592",,"1,327",,"13,646,641","9,432,800 "
Latvia,"982,280",,"6,686                                ",,"971,406",,"4,188",,"7,885,792","1,848,837 "
Saudi Arabia,"841,469",,"9,646                                ",,N/A,N/A,N/A,,"45,481,735","35,844,909 "
Paraguay,"837,602",,"20,155                                ",,N/A,N/A,N/A,N/A,"2,657,506","7,305,843 "
Azerbaijan,"834,649",,"10,400                                ",,"824,089",,160,,"7,748,050","10,300,205 "
Bahrain,"729,549",,"1,574                                ",,"727,915",,60,N/A,"10,948,549","1,783,983 "
Cyprus,"681,110",,"1,365                                ",,"679,745",,0,,"9,640,118","1,223,387 "
Dominican Republic,"675,890",,"4,384                                ",,"671,316",,190,4,"3,740,928","11,056,370 "
Sri Lanka,"672,750",,"16,897                                ",,"655,852",,1,,"6,486,117","21,575,842 "
Kuwait,"667,094",,"2,570                                ",,N/A,N/A,N/A,,"8,455,743","4,380,326 "
Myanmar,"641,801",,"19,495                                ",,"620,159",,"2,147",,"11,672,345","55,227,143 "
Moldova,"634,508",,"12,206                                ",,N/A,N/A,N/A,N/A,"3,216,305","4,013,171 "
Estonia,"627,820",,"3,001                                ",,N/A,N/A,N/A,N/A,"6,944,652","1,321,910 "
Palestine,"621,008",,"5,404                                ",,"615,445",,159,,"3,078,533","5,345,541 "
Venezuela,"552,695",,"5,856                                ",,"546,537",,302,31,"3,359,014","29,266,991 "
Egypt,"516,023",,"24,613                                ",,"442,182",,"49,228",122,"3,693,367","106,156,692 "
Qatar,"514,524",,690                                ,,"513,687",,147,16,"4,065,369","2,979,915 "
Libya,"507,274",,"6,437                                ",,"500,835",,2,,"2,483,848","7,040,745 "
Ethiopia,"501,117",,"7,574                                ",,"488,171",,"5,372",,"5,565,340","120,812,698 "
Réunion,"494,595",,921                                ,,N/A,N/A,N/A,N/A,"1,603,660","908,061 "
